"node_id","n","pi_obs","pi_compliers","weakiv_p","CACE","pvalue","adj_pvalue"
22,4192,0.891,0.6885,0,17817.9773,0,0
23,318,0.0684,0.7889,0,25270.9829,0.1389,0.6945
10,121,0.0256,0.913,0,53422.268,0.0022,0.0132
18,25,0.0066,0.8235,0,-6782.8673,0.9028,1
19,16,0.0023,0.5,0.0403,-29365.7143,0.4325,1
8,15,0.0028,1,0,144376.0667,0.2285,0.914
3,10,0.0034,0.8571,0,250409.2963,0.4136,1
